#submitted_id	updated_id	status
FBgn0003091	FBgn0003091	current
FBgn0002891	FBgn0002891	current
FBgn0001296	FBgn0001296	current
FBgn0000564	FBgn0000564	current
FBgn0001965	FBgn0001965	current
FBgn0002872	FBgn0002872	current
FBgn0000370	FBgn0000370	current
FBgn0000320	FBgn0000320	current
FBgn0000635	FBgn0000635	current
FBgn0000043	FBgn0000043	current
FBgn0000037	FBgn0000037	current
FBgn0000280	FBgn0000280	current
FBgn0001075	FBgn0001075	current
FBgn0000116	FBgn0000116	current
FBgn0000318	FBgn0000318	current
FBgn0000377	FBgn0000377	current
FBgn0000173	FBgn0000173	current
FBgn0000559	FBgn0000559	current
FBgn0003060	FBgn0003060	current
FBgn0000157	FBgn0000157	current
FBgn0000459	FBgn0000459	current
FBgn0001565	FBgn0001565	current
FBgn0001104	FBgn0001104	current
FBgn0000576	FBgn0000576	current
FBgn0002917	FBgn0002917	current
FBgn0001208	FBgn0001208	current
FBgn0002873	FBgn0002873	current
FBgn0001324	FBgn0001324	current
FBgn0001253	FBgn0001253	current
FBgn0000055	FBgn0000055	current
FBgn0001218	FBgn0001218	current
FBgn0002563	FBgn0002563	current
FBgn0002466	FBgn0002466	current
FBgn0000447	FBgn0000447	current
FBgn0000018	FBgn0000018	current
FBgn0002576	FBgn0002576	current
FBgn0001319	FBgn0001319	current
FBgn0001091	FBgn0001091	current
FBgn0001974	FBgn0286027	current
FBgn0000826	FBgn0000826	current
FBgn0003124	FBgn0003124	current
FBgn0002938	FBgn0002938	current
FBgn0002707	FBgn0002707	current
FBgn0000662	FBgn0000662	current
FBgn0001180	FBgn0001180	current
FBgn0002626	FBgn0002626	current
FBgn0000404	FBgn0000404	current
FBgn0002921	FBgn0002921	current
FBgn0003089	FBgn0003089	current
FBgn0002531	FBgn0002531	current
FBgn0002945	FBgn0002945	current
FBgn0000289	FBgn0000289	current
FBgn0000045	FBgn0000045	current
FBgn0000166	FBgn0000166	current
FBgn0000477	FBgn0000477	current
FBgn0002354	FBgn0002354	current
FBgn0000308	FBgn0000308	current
FBgn0000500	FBgn0000500	current
FBgn0000551	FBgn0000551	current
FBgn0000588	FBgn0000588	current
FBgn0001174	FBgn0001174	current
FBgn0000216	FBgn0000216	current
FBgn0000064	FBgn0000064	current
FBgn0002535	FBgn0002535	current
FBgn0001995	FBgn0001995	current
FBgn0002021	FBgn0002021	current
FBgn0001248	FBgn0001248	current
FBgn0001229	FBgn0001229	current
FBgn0000137	FBgn0000137	current
FBgn0003114	FBgn0003114	current
FBgn0003074	FBgn0003074	current
FBgn0001263	FBgn0001263	current
FBgn0000015	FBgn0000015	current
FBgn0002926	FBgn0002926	current
FBgn0001169	FBgn0001169	current
FBgn0003130	FBgn0003130	current
FBgn0000275	FBgn0259243	current
FBgn0002579	FBgn0002579	current
FBgn0002997	FBgn0259175	current
FBgn0000567	FBgn0000567	current
FBgn0003178	FBgn0267385	current
FBgn0000810	FBgn0000810	current
FBgn0000565	FBgn0000565	current
FBgn0001186	FBgn0001186	current
FBgn0003145	FBgn0003145	current
FBgn0001323	FBgn0001323	current
FBgn0000606	FBgn0000606	current
FBgn0000658	FBgn0000658	current
FBgn0002431	FBgn0002431	current
FBgn0000357	FBgn0000357	current
FBgn0000384	FBgn0000384	current
FBgn0000594	FBgn0000594	current
FBgn0000171	FBgn0263231	current
FBgn0000008	FBgn0000008	current
FBgn0000326	FBgn0000326	current
FBgn0000181	FBgn0000181	current
FBgn0000038	FBgn0000038	current
FBgn0002856	FBgn0002856	current
FBgn0001226	FBgn0001226	current
FBgn0002036	FBgn0002036	current
FBgn0002899	FBgn0002899	current
FBgn0002774	FBgn0002774	current
FBgn0002564	FBgn0002564	current
FBgn0000115	FBgn0000115	current
FBgn0003011	FBgn0003011	current
FBgn0000964	FBgn0000964	current
FBgn0000659	FBgn0000659	current
FBgn0000022	FBgn0000022	current
FBgn0002773	FBgn0002773	current
FBgn0000577	FBgn0000577	current
FBgn0002863	FBgn0002863	current
FBgn0001090	FBgn0001090	current
FBgn0001219	FBgn0266599	current
FBgn0002521	FBgn0002521	current
FBgn0001168	FBgn0001168	current
FBgn0001125	FBgn0001125	current
FBgn0000281	FBgn0000281	current
FBgn0000636	FBgn0000636	current
FBgn0003037	FBgn0085387	current
FBgn0002973	FBgn0002973	current
FBgn0002571	FBgn0002571	current
FBgn0000543	FBgn0000543	current
FBgn0002527	FBgn0261800	current
FBgn0000039	FBgn0000039	current
FBgn0002878	FBgn0002878	current
FBgn0001941	FBgn0001941	current
FBgn0002534	FBgn0002534	current
FBgn0001325	FBgn0001325	current
FBgn0003205	FBgn0003205	current
FBgn0000425	FBgn0000425	current
FBgn0000337	FBgn0000337	current
FBgn0002533	FBgn0002533	current
FBgn0003046	FBgn0003046	current
FBgn0001147	FBgn0001147	current
FBgn0002673	FBgn0002673	current
FBgn0001977	FBgn0001977	current
FBgn0000024	FBgn0000024	current
FBgn0000179	FBgn0000179	current
FBgn0000120	FBgn0000120	current
FBgn0000394	FBgn0000394	current
FBgn0001276	FBgn0001276	current
FBgn0000634	FBgn0285925	current
FBgn0001228	FBgn0001228	current
FBgn0002781	FBgn0002781	current
FBgn0002787	FBgn0002787	current
FBgn0003067	FBgn0003067	current
FBgn0002578	FBgn0002578	current
FBgn0001087	FBgn0001087	current
FBgn0000233	FBgn0000233	current
FBgn0000076	FBgn0086782	current
FBgn0001255	FBgn0001255	current
FBgn0003087	FBgn0003087	current
FBgn0002645	FBgn0002645	current
FBgn0000109	FBgn0000109	current
FBgn0000562	FBgn0000562	current
FBgn0001235	FBgn0001235	current
FBgn0002543	FBgn0002543	current
FBgn0002905	FBgn0002905	current
FBgn0003194	FBgn0259728	current
FBgn0002552	FBgn0002552	current
FBgn0002573	FBgn0002573	current
FBgn0002306	FBgn0002306	current
FBgn0000277	FBgn0000277	current
FBgn0001077	FBgn0001077	current
FBgn0003065	FBgn0003065	current
FBgn0001256	FBgn0001256	current
FBgn0000250	FBgn0000250	current
FBgn0000490	FBgn0000490	current
FBgn0002593	FBgn0002593	current
FBgn0002932	FBgn0002932	current
FBgn0003068	FBgn0003068	current
FBgn0000286	FBgn0000286	current
FBgn0000032	FBgn0000032	current
FBgn0001216	FBgn0001216	current
FBgn0000153	FBgn0000153	current
FBgn0001222	FBgn0001222	current
FBgn0000057	FBgn0000057	current
FBgn0000316	FBgn0000316	current
FBgn0002791	FBgn0002791	current
FBgn0001254	FBgn0001254	current
FBgn0003053	FBgn0003053	current
FBgn0000408	FBgn0086907	current
FBgn0000095	FBgn0260642	current
FBgn0001139	FBgn0001139	current
FBgn0000084	FBgn0000084	current
FBgn0003041	FBgn0003041	current
FBgn0003093	FBgn0003093	current
FBgn0000114	FBgn0000114	current
FBgn0000239	FBgn0000239	current
FBgn0000618	FBgn0000618	current
FBgn0002633	FBgn0002633	current
FBgn0000180	FBgn0000180	current
FBgn0002968	FBgn0264975	current
FBgn0000146	FBgn0000146	current
FBgn0000139	FBgn0000139	current
FBgn0000414	FBgn0000414	current
FBgn0001197	FBgn0001197	current
FBgn0002772	FBgn0002772	current
FBgn0001189	FBgn0001189	current
FBgn0001223	FBgn0001223	current
FBgn0001978	FBgn0001978	current
FBgn0003140	FBgn0003140	current
FBgn0000355	FBgn0000355	current
FBgn0001404	FBgn0001404	current
FBgn0000557	FBgn0000557	current
FBgn0002524	FBgn0002524	current
FBgn0000121	FBgn0000121	current
FBgn0003079	FBgn0003079	current
FBgn0002570	FBgn0002570	current
FBgn0003132	FBgn0003132	current
FBgn0001123	FBgn0001123	current
FBgn0001217	FBgn0001217	current
FBgn0001257	FBgn0001257	current
FBgn0002780	FBgn0002780	current
FBgn0000338	FBgn0262975	current
FBgn0000427	FBgn0000427	current
FBgn0000592	FBgn0000592	current
FBgn0002715	FBgn0002715	current
FBgn0001332	FBgn0267824	current
FBgn0000640	FBgn0000640	current
FBgn0001108	FBgn0001108	current
FBgn0002592	FBgn0002592	current
FBgn0000426	FBgn0000426	current
FBgn0002719	FBgn0002719	current
FBgn0003116	FBgn0003116	current
FBgn0000319	FBgn0000319	current
FBgn0000044	FBgn0000044	current
FBgn0002962	FBgn0002962	current
FBgn0000486	FBgn0261396	current
FBgn0000242	FBgn0265598	current
FBgn0001099	FBgn0001099	current
FBgn0001234	FBgn0001234	current
FBgn0002933	FBgn0002933	current
FBgn0000928	FBgn0000928	current
FBgn0001402	FBgn0284408	current
FBgn0002609	FBgn0002609	current
FBgn0000276	FBgn0000276	current
FBgn0000258	FBgn0264492	current
FBgn0003015	FBgn0003015	current
FBgn0000625	FBgn0000625	current
FBgn0003204	FBgn0003204	current
FBgn0002562	FBgn0002562	current
